Date,Open,High,Low,True Range,1D,,,,,,,
14/12/2021,46709.82422,48431.39844,46424.49609,2006.90235,6.30%,,,,,,,
13/12/2021,50114.74219,50205,45894.84766,4310.15234,6.39%,,,,,,,
12/12/2021,49354.85547,50724.86719,48725.85156,1999.01563,4.78%,,,,,,,
11/12/2021,47264.63281,49458.21094,46942.34766,2515.86328,5.78%,,,,,,,
10/12/2021,47642.14453,50015.25391,47023.69922,2991.55469,6.37%,,,,,,,
09/12/2021,50450.08203,50797.16406,47358.35156,3438.8125,5.77%,,,,,,,
08/12/2021,50667.64844,51171.375,48765.98828,2405.38672,4.12%,,,,,,,
07/12/2021,50581.82813,51934.78125,50175.80859,1758.97266,5.47%,,,,,,,
06/12/2021,49413.48047,50929.51953,47281.03516,3648.48437,5.65%,,,,,,,
05/12/2021,49201.51953,49768.14844,47857.49609,1910.65235,12.04%,,,,,,,
04/12/2021,53727.87891,53904.67969,42874.61719,11030.0625,14.17%,,,,,,,
03/12/2021,56509.16406,57482.16797,52496.58594,4985.58203,5.63%,,,,,,,
02/12/2021,57217.37109,57349.23438,55895.13281,1454.10157,3.46%,,,,,,,
01/12/2021,56907.96484,59041.68359,56553.08203,2488.60156,4.79%,,,,,,,
30/11/2021,57830.11328,59113.40234,56057.28125,3056.12109,4.48%,,,,,,,
29/11/2021,57291.90625,58872.87891,56792.52734,2080.35157,5.38%,,,,,,,
28/11/2021,54813.02344,57393.84375,53576.73438,3817.10937,5.10%,,,,,,,
27/11/2021,53736.42969,55329.25781,53668.35547,1660.90234,6.17%,,,,,,,
26/11/2021,58960.28516,59183.48047,53569.76563,5613.71484,6.85%,,,,,,,
25/11/2021,57165.41797,59367.96875,57146.68359,2221.28516,3.53%,,,,,,,
24/11/2021,57565.85156,57803.06641,55964.22266,1838.84375,3.62%,,,,,,,
23/11/2021,56304.55469,57875.51563,55632.76172,2242.75391,4.96%,,,,,,,
22/11/2021,58706.84766,59266.35938,55679.83984,3586.51954,4.16%,,,,,,,
21/11/2021,59730.50781,60004.42578,58618.92969,1385.49609,3.25%,,,,,,,
20/11/2021,58115.08203,59859.87891,57469.72656,2390.15235,4.43%,,,,,,,
19/11/2021,56896.12891,58351.11328,55705.17969,2645.93359,5.83%,,,,,,,
18/11/2021,60360.13672,60948.5,56550.79297,4397.70703,5.58%,,,,,,,
17/11/2021,60139.62109,60823.60938,58515.41016,2308.19922,5.50%,,,,,,,
16/11/2021,63721.19531,63721.19531,59016.33594,4704.85937,5.68%,,,,,,,
15/11/2021,65521.28906,66281.57031,63548.14453,2733.42578,3.55%,,,,,,,
14/11/2021,64455.37109,65495.17969,63647.80859,1847.3711,2.70%,,,,,,,
13/11/2021,64158.12109,64915.67578,63303.73438,1611.9414,3.65%,,,,,,,
12/11/2021,64863.98047,65460.81641,62333.91406,3126.90235,3.48%,,,,,,,
11/11/2021,64978.89063,65579.01563,64180.48828,1398.52735,5.21%,,,,,,,
10/11/2021,66953.33594,68789.625,63208.11328,5581.51172,5.72%,,,,,,,
09/11/2021,67549.73438,68530.33594,66382.0625,2148.27344,5.11%,,,,,,,
08/11/2021,63344.06641,67673.74219,63344.06641,4329.67578,5.06%,,,,,,,
07/11/2021,61554.92188,63326.98828,61432.48828,1894.5,2.72%,,,,,,,
06/11/2021,61068.875,61590.68359,60163.78125,1426.90234,2.54%,,,,,,,
05/11/2021,61460.07813,62541.46875,60844.60938,1696.85937,3.19%,,,,,,,
04/11/2021,62941.80469,63123.28906,60799.66406,2323.625,3.68%,,,,,,,
03/11/2021,63254.33594,63516.9375,61184.23828,2332.69922,4.84%,,,,,,,
02/11/2021,60963.25391,64242.79297,60673.05469,3569.73828,5.13%,,,,,,,
01/11/2021,61320.44922,62419.00391,59695.18359,2723.82032,4.09%,,,,,,,
31/10/2021,61850.48828,62406.17188,60074.32813,2331.84375,3.01%,,,,,,,
30/10/2021,62239.36328,62330.14453,60918.38672,1411.75781,3.31%,,,,,,,
29/10/2021,60624.87109,62927.60938,60329.96484,2597.64454,5.57%,,,,,,,
28/10/2021,58470.73047,62128.63281,58206.91797,3921.71484,5.92%,,,,,,,
27/10/2021,60352,61435.18359,58208.1875,3226.99609,5.13%,,,,,,,
26/10/2021,63032.76172,63229.02734,59991.16016,3237.86718,5.15%,,,,,,,
25/10/2021,60893.92578,63729.32422,60691.80078,3037.52344,3.99%,,,,,,,
24/10/2021,61368.34375,61505.80469,59643.34375,1862.46094,3.11%,,,,,,,
23/10/2021,60694.62891,61743.87891,59826.52344,1917.35547,4.43%,,,,,,,
22/10/2021,62237.89063,63715.02344,60122.79688,3592.22656,6.12%,,,,,,,
21/10/2021,66002.23438,66600.54688,62117.41016,4483.13672,6.07%,,,,,,,
20/10/2021,64284.58594,66930.39063,63610.67578,3319.71485,4.94%,,,,,,,
19/10/2021,62043.16406,64434.53516,61622.93359,2811.60157,4.40%,,,,,,,
18/10/2021,61548.80469,62614.66016,60012.75781,2601.90235,4.17%,,,,,,,
17/10/2021,60887.65234,61645.52344,59164.46875,2481.05469,3.69%,,,,,,,
16/10/2021,61609.52734,62274.47656,60206.12109,2068.35547,6.94%,,,,,,,
15/10/2021,57345.90234,62757.12891,56868.14453,5888.98438,6.46%,,,,,,,
14/10/2021,57372.83203,58478.73438,56957.07422,1521.66016,4.32%,,,,,,,
